taxon_id,alcoholYes,alcoholYesSD
Bifidobacteriaceae,-0,0
Coriobacteriaceae,-0,0
[Barnesiellaceae],2.91,1.03
[Odoribacteraceae],0,0
[Paraprevotellaceae],-0,0
Bacteroidaceae,-1.52,0.332
Porphyromonadaceae,-0,0
Prevotellaceae,0,0
Rikenellaceae,-0,0
Streptococcaceae,-0,0
[Mogibacteriaceae],0,0
Christensenellaceae,0,0
Clostridiaceae,-0,0
Dehalobacteriaceae,0,0
Lachnospiraceae,-0,0
Peptococcaceae,-0,0
Peptostreptococcaceae,-0,0
Ruminococcaceae,0,0
Veillonellaceae,-0,0
Erysipelotrichaceae,-0.947,0.256
Alcaligenaceae,-0,0
Desulfovibrionaceae,-0,0
Enterobacteriaceae,0,0
Pasteurellaceae,-1.04,0.381
Verrucomicrobiaceae,-0,0
Unknown,0,0
