taxon_id,das_levelMedium,das_levelHigh,das_levelHigh - das_levelMedium,das_levelMediumSD,das_levelHighSD,das_levelHigh - das_levelMediumSD
Bifidobacteriaceae,-0,-0,-0,0,0,0
Coriobacteriaceae,-0,-0,0,0,0,0
[Barnesiellaceae],-0,0,0,0,0,0
[Odoribacteraceae],0,0,0,0,0,0
[Paraprevotellaceae],-0,0,0,0,0,0
Bacteroidaceae,0,1.53,0,0,0.399,0
Porphyromonadaceae,0,0,0,0,0,0
Prevotellaceae,0,0,0,0,0,0
Rikenellaceae,-0,-0,-0,0,0,0
Streptococcaceae,0,0,0,0,0,0
[Mogibacteriaceae],-0,-0,-0,0,0,0
Christensenellaceae,-0,-0,-0,0,0,0
Clostridiaceae,0,0,0,0,0,0
Dehalobacteriaceae,-0,0,0,0,0,0
Lachnospiraceae,-0,0,0,0,0,0
Peptococcaceae,-0,-0,0,0,0,0
Peptostreptococcaceae,0,2.04,0,0,0.499,0
Ruminococcaceae,-0,0,0,0,0,0
Veillonellaceae,-0,0,0,0,0,0
Erysipelotrichaceae,-0,0,0,0,0,0
Alcaligenaceae,-0,0,0,0,0,0
Desulfovibrionaceae,-0,0,0,0,0,0
Enterobacteriaceae,-0,0,0,0,0,0
Pasteurellaceae,0,0,0,0,0,0
Verrucomicrobiaceae,0,-0,-0,0,0,0
Unknown,0,-0,-0,0,0,0
