taxon_id,alcoholYes,alcoholYesSD
Bifidobacterium,-0,0
Collinsella,-0,0
Eggerthella,-0,0
Butyricimonas,0,0
Odoribacter,1.76,0.605
Paraprevotella,-1.35,0.413
Bacteroides,-1.24,0.24
Parabacteroides,-0,0
Prevotella,0,0
Alistipes,-0,0
Streptococcus,-0,0
Clostridium,-1.5,0.414
Dehalobacterium,0,0
[Ruminococcus],-0,0
Anaerostipes,-0,0
Blautia,-0,0
Coprococcus,-0,0
Dorea,-0,0
Lachnobacterium,0,0
Lachnospira,0,0
Roseburia,0,0
Anaerotruncus,0,0
Faecalibacterium,0,0
Gemmiger,0,0
Oscillospira,-0,0
Ruminococcus,0,0
Acidaminococcus,-0,0
Dialister,-2.21,0.562
Megasphaera,-0,0
Phascolarctobacterium,0,0
Veillonella,-0,0
[Eubacterium],-1.47,0.489
Catenibacterium,-0,0
Coprobacillus,-0,0
Holdemania,-0,0
Sutterella,-0,0
Bilophila,-0,0
Desulfovibrio,-0,0
Haemophilus,-0,0
Akkermansia,0,0
Unknown,0,0
