Family,Genus,lfc (Medium - Low),lfc (High - Low),se (Medium - Low),se (High - Low),W (Medium - Low),W (High - Low),p (Medium - Low),p (High - Low),q (Medium - Low),q (High - Low),structural_zero (hostility_level = Low),structural_zero (hostility_level = Medium),structural_zero (hostility_level = High)
Bifidobacteriaceae,Bifidobacterium,-0.71,-1.08,1.12,0.942,-0.636,-1.15,0.525,0.252,0.897,0.955,FALSE,FALSE,FALSE
Coriobacteriaceae,Collinsella,0.553,-0.901,0.621,0.919,0.89,-0.98,0.374,0.327,0.851,0.955,FALSE,FALSE,FALSE
Coriobacteriaceae,Eggerthella,-0.566,0.104,0.505,0.47,-1.12,0.221,0.262,0.825,0.672,0.955,FALSE,FALSE,FALSE
[Odoribacteraceae],Butyricimonas,2.28,1.27,0.784,0.875,2.9,1.45,0.00369,0.147,0.0505,0.955,FALSE,FALSE,FALSE
[Odoribacteraceae],Odoribacter,1.84,0.959,0.884,0.911,2.09,1.05,0.0369,0.292,0.22,0.955,FALSE,FALSE,FALSE
[Paraprevotellaceae],Paraprevotella,-1.11,0.564,0,0.919,-1.74,0.614,0,0.539,0,0.955,FALSE,TRUE,FALSE
Bacteroidaceae,Bacteroides,-0.851,-0.099,0.438,0.474,-1.95,-0.209,0.0518,0.834,0.265,0.955,FALSE,FALSE,FALSE
Porphyromonadaceae,Parabacteroides,-0.109,0.531,1.15,0.953,-0.095,0.557,0.924,0.577,0.977,0.955,FALSE,FALSE,FALSE
Prevotellaceae,Prevotella,0.0383,0.687,1.31,1.19,0.0292,0.577,0.977,0.564,0.977,0.955,FALSE,FALSE,FALSE
Rikenellaceae,Alistipes,0.177,-0.423,0.664,1.03,0.266,-0.412,0.79,0.68,0.977,0.955,FALSE,FALSE,FALSE
Streptococcaceae,Streptococcus,-0.772,-1.22,0.974,0.646,-0.793,-1.89,0.428,0.0582,0.858,0.955,FALSE,FALSE,FALSE
Clostridium,Clostridium,-1.37,-0.208,0.66,0.72,-2.08,-0.289,0.0376,0.773,0.22,0.955,FALSE,FALSE,FALSE
Dehalobacteriaceae,Dehalobacterium,-0.348,0.0294,0.495,0.333,-0.704,0.0884,0.481,0.93,0.858,0.995,FALSE,FALSE,FALSE
Lachnospiraceae,[Ruminococcus],0.0946,1.19,0.674,0.699,0.14,1.7,0.888,0.0888,0.977,0.955,FALSE,FALSE,FALSE
Lachnospiraceae,Anaerostipes,-1.35,-0.104,0.432,0.509,-3.13,-0.205,0.00173,0.838,0.0354,0.955,FALSE,FALSE,FALSE
Lachnospiraceae,Blautia,-0.238,-0.39,0.417,0.458,-0.572,-0.851,0.567,0.395,0.93,0.955,FALSE,FALSE,FALSE
Lachnospiraceae,Coprococcus,-0.0921,-0.632,0.409,0.679,-0.225,-0.93,0.822,0.352,0.977,0.955,FALSE,FALSE,FALSE
Lachnospiraceae,Dorea,-1.53,-0.478,0.986,0.606,-1.55,-0.788,0.121,0.431,0.408,0.955,FALSE,FALSE,FALSE
Lachnospiraceae,Lachnobacterium,1.37,0.602,0.899,0.722,1.52,0.834,0.128,0.404,0.408,0.955,FALSE,FALSE,FALSE
