Family,Genus,Species,lfc (Yes - No),se (Yes - No),W (Yes - No),p (Yes - No),q (Yes - No),structural_zero (alcohol = No),structural_zero (alcohol = Yes)
Bifidobacteriaceae,Bifidobacterium,adolescentis,0.348,1.19,0.291,0.771,0.985,FALSE,FALSE
Bifidobacteriaceae,Bifidobacterium,bifidum,0.299,0.602,0.497,0.619,0.985,FALSE,FALSE
Coriobacteriaceae,Collinsella,aerofaciens,0.159,0.83,0.192,0.848,0.985,FALSE,FALSE
Coriobacteriaceae,Eggerthella,lenta,-0.0213,0.414,-0.0515,0.959,0.985,FALSE,FALSE
Bacteroidaceae,Bacteroides,caccae,1.07,1.09,0.977,0.329,0.961,FALSE,FALSE
Bacteroidaceae,Bacteroides,eggerthii,-0.0679,0.626,-0.108,0.914,0.985,FALSE,FALSE
Bacteroidaceae,Bacteroides,fragilis,0.489,1.24,0.394,0.693,0.985,FALSE,FALSE
Bacteroidaceae,Bacteroides,ovatus,-0.922,0.568,-1.62,0.104,0.693,FALSE,FALSE
Bacteroidaceae,Bacteroides,uniformis,0.333,0.633,0.525,0.599,0.985,FALSE,FALSE
Porphyromonadaceae,Parabacteroides,distasonis,-0.167,1.04,-0.161,0.872,0.985,FALSE,FALSE
Rikenellaceae,Alistipes,indistinctus,0.0742,0.728,0.102,0.919,0.985,FALSE,FALSE
Rikenellaceae,Alistipes,onderdonkii,-0.383,1.13,-0.34,0.734,0.985,FALSE,FALSE
Rikenellaceae,Alistipes,putredinis,0.06,1.02,0.0589,0.953,0.985,FALSE,FALSE
Clostridiaceae,Clostridium,celatum,-0.441,0,-1.4,0,0,FALSE,TRUE
Lachnospiraceae,[Ruminococcus],gnavus,-0.831,0.643,-1.29,0.196,0.812,FALSE,FALSE
Lachnospiraceae,[Ruminococcus],torques,-0.654,0.745,-0.877,0.38,0.963,FALSE,FALSE
Lachnospiraceae,Blautia,obeum,0.573,1.04,0.551,0.581,0.985,FALSE,FALSE
Lachnospiraceae,Blautia,producta,-1,0.797,-1.26,0.209,0.812,FALSE,FALSE
Lachnospiraceae,Clostridium,aldenense,-1,0,-2.39,0,0,FALSE,TRUE
Lachnospiraceae,Clostridium,citroniae,-0.991,0.945,-1.05,0.294,0.931,FALSE,FALSE
Lachnospiraceae,Clostridium,colinum,-0.257,0,-0.921,0,0,FALSE,TRUE
Lachnospiraceae,Clostridium,hathewayi,-0.277,0.574,-0.483,0.629,0.985,FALSE,FALSE
Lachnospiraceae,Clostridium,lavalense,0.852,0.685,1.24,0.214,0.812,FALSE,FALSE
Lachnospiraceae,Clostridium,symbiosum,-0.242,0.613,-0.395,0.693,0.985,FALSE,FALSE
Lachnospiraceae,Coprococcus,catus,-0.057,0.432,-0.132,0.895,0.985,FALSE,FALSE
Lachnospiraceae,Dorea,formicigenerans,0.0458,0.724,0.0633,0.95,0.985,FALSE,FALSE
Lachnospiraceae,Roseburia,faecis,1.74,0.69,2.52,0.0116,0.213,FALSE,FALSE
Ruminococcaceae,Faecalibacterium,prausnitzii,1.57,0.981,1.6,0.109,0.693,FALSE,FALSE
Ruminococcaceae,Gemmiger,formicilis,0.753,1.12,0.672,0.502,0.985,FALSE,FALSE
Ruminococcaceae,Ruminococcus,bromii,1.53,0.78,1.96,0.0497,0.472,FALSE,FALSE
Veillonellaceae,Veillonella,dispar,-0.0941,0.457,-0.206,0.837,0.985,FALSE,FALSE
Erysipelotrichaceae,[Eubacterium],biforme,-0.0092,0.515,-0.0179,0.986,0.986,FALSE,FALSE
Erysipelotrichaceae,[Eubacterium],dolichum,-0.978,0,-2.77,0,0,FALSE,TRUE
Erysipelotrichaceae,Clostridium,ramosum,-0.495,0.438,-1.13,0.258,0.892,FALSE,FALSE
Erysipelotrichaceae,Clostridium,spiroforme,0.065,0.343,0.19,0.85,0.985,FALSE,FALSE
Pasteurellaceae,Haemophilus,parainfluenzae,-0.235,0.341,-0.69,0.49,0.985,FALSE,FALSE
Verrucomicrobiaceae,Akkermansia,muciniphila,0.698,1.44,0.486,0.627,0.985,FALSE,FALSE
Unknown,Unknown,Unknown,0.137,0.178,0.767,0.443,0.985,FALSE,FALSE
