Family,Genus,Species,lfc (Medium - Low),lfc (High - Low),se (Medium - Low),se (High - Low),W (Medium - Low),W (High - Low),p (Medium - Low),p (High - Low),q (Medium - Low),q (High - Low),structural_zero (das_level = Low),structural_zero (das_level = Medium),structural_zero (das_level = High)
Bifidobacteriaceae,Bifidobacterium,adolescentis,0.0919,-0.461,0.947,0.824,0.097,-0.56,0.923,0.576,0.99,0.892,FALSE,FALSE,FALSE
Bifidobacteriaceae,Bifidobacterium,bifidum,0.801,1.15,0,0,1.78,2.57,0,0,0,0,TRUE,FALSE,FALSE
Coriobacteriaceae,Collinsella,aerofaciens,-1.11,-1.11,0.847,0.869,-1.31,-1.28,0.191,0.2,0.99,0.758,FALSE,FALSE,FALSE
Coriobacteriaceae,Eggerthella,lenta,0.376,0.359,0.451,0.514,0.833,0.7,0.405,0.484,0.99,0.892,FALSE,FALSE,FALSE
Bacteroidaceae,Bacteroides,caccae,-0.277,-0.773,0.995,0.949,-0.279,-0.815,0.78,0.415,0.99,0.892,FALSE,FALSE,FALSE
Bacteroidaceae,Bacteroides,eggerthii,-0.178,0.359,0.726,0.86,-0.245,0.418,0.806,0.676,0.99,0.892,FALSE,FALSE,FALSE
Bacteroidaceae,Bacteroides,fragilis,-0.0262,1.03,1.12,1.33,-0.0235,0.776,0.981,0.438,0.99,0.892,FALSE,FALSE,FALSE
Bacteroidaceae,Bacteroides,ovatus,0.984,0.394,0.808,1.02,1.22,0.387,0.223,0.699,0.99,0.892,FALSE,FALSE,FALSE
Bacteroidaceae,Bacteroides,uniformis,1.58,0.673,1.08,1.26,1.47,0.534,0.143,0.593,0.99,0.892,FALSE,FALSE,FALSE
Porphyromonadaceae,Parabacteroides,distasonis,0.711,-0.0935,1.05,1.16,0.677,-0.0809,0.499,0.936,0.99,0.949,FALSE,FALSE,FALSE
Rikenellaceae,Alistipes,indistinctus,-0.666,-0.286,0.647,0.635,-1.03,-0.451,0.303,0.652,0.99,0.892,FALSE,FALSE,FALSE
Rikenellaceae,Alistipes,onderdonkii,0.495,0.845,1.08,1.02,0.459,0.829,0.646,0.407,0.99,0.892,FALSE,FALSE,FALSE
Rikenellaceae,Alistipes,putredinis,0.272,-1.69,0.982,1.09,0.277,-1.56,0.782,0.119,0.99,0.722,FALSE,FALSE,FALSE
Clostridiaceae,Clostridium,celatum,0.391,0.889,0.518,0.533,0.756,1.67,0.45,0.0953,0.99,0.722,FALSE,FALSE,FALSE
Lachnospiraceae,[Ruminococcus],gnavus,-0.668,0.182,0.734,0.737,-0.91,0.247,0.363,0.805,0.99,0.9,FALSE,FALSE,FALSE
Lachnospiraceae,[Ruminococcus],torques,-0.0816,-0.283,0.922,0.998,-0.0885,-0.284,0.93,0.776,0.99,0.894,FALSE,FALSE,FALSE
Lachnospiraceae,Blautia,obeum,-0.297,-0.168,0.922,0.881,-0.322,-0.19,0.747,0.849,0.99,0.922,FALSE,FALSE,FALSE
Lachnospiraceae,Blautia,producta,-0.771,0.592,0.931,1.06,-0.828,0.556,0.408,0.578,0.99,0.892,FALSE,FALSE,FALSE
Lachnospiraceae,Clostridium,aldenense,0.446,1.16,0.738,0.809,0.604,1.43,0.546,0.152,0.99,0.722,FALSE,FALSE,FALSE
Lachnospiraceae,Clostridium,citroniae,1.33,2.83,1.05,1.17,1.27,2.42,0.206,0.0154,0.99,0.292,FALSE,FALSE,FALSE
Lachnospiraceae,Clostridium,colinum,-0.32,0.521,0,0.607,-1.08,0.859,0,0.39,0,0.892,FALSE,TRUE,FALSE
