Family,Genus,Species,lfc (Medium - Low),lfc (High - Low),se (Medium - Low),se (High - Low),W (Medium - Low),W (High - Low),p (Medium - Low),p (High - Low),q (Medium - Low),q (High - Low),structural_zero (depression_level = Low),structural_zero (depression_level = Medium),structural_zero (depression_level = High)
Bifidobacteriaceae,Bifidobacterium,adolescentis,0.47,0.708,0.89,0.818,0.528,0.865,0.598,0.387,0.968,0.993,FALSE,FALSE,FALSE
Bifidobacteriaceae,Bifidobacterium,bifidum,-0.507,0.164,0,0.591,-1.27,0.277,0,0.782,0,0.993,FALSE,TRUE,FALSE
Coriobacteriaceae,Collinsella,aerofaciens,0.508,0.0732,0.814,0.956,0.624,0.0765,0.532,0.939,0.968,0.993,FALSE,FALSE,FALSE
Coriobacteriaceae,Eggerthella,lenta,0.0206,0.0482,0.516,0.426,0.0399,0.113,0.968,0.91,0.968,0.993,FALSE,FALSE,FALSE
Bacteroidaceae,Bacteroides,caccae,0.796,1.46,0.891,1.02,0.894,1.43,0.372,0.154,0.941,0.993,FALSE,FALSE,FALSE
Bacteroidaceae,Bacteroides,eggerthii,-0.954,-0.263,0,0.817,-1.43,-0.322,0,0.748,0,0.993,FALSE,TRUE,FALSE
Bacteroidaceae,Bacteroides,fragilis,-0.145,-0.565,1.21,1.2,-0.12,-0.473,0.905,0.637,0.968,0.993,FALSE,FALSE,FALSE
Bacteroidaceae,Bacteroides,ovatus,-1.15,0.295,1.05,0.623,-1.1,0.474,0.273,0.636,0.864,0.993,FALSE,FALSE,FALSE
Bacteroidaceae,Bacteroides,uniformis,-0.183,1.04,1.24,1.1,-0.148,0.946,0.883,0.344,0.968,0.993,FALSE,FALSE,FALSE
Porphyromonadaceae,Parabacteroides,distasonis,0.631,0.899,1.17,1.01,0.542,0.893,0.588,0.372,0.968,0.993,FALSE,FALSE,FALSE
Rikenellaceae,Alistipes,indistinctus,0.711,0.0323,0.632,0.581,1.12,0.0556,0.261,0.956,0.864,0.993,FALSE,FALSE,FALSE
Rikenellaceae,Alistipes,onderdonkii,-1.94,1.25,0.743,0.978,-2.61,1.27,0.00914,0.203,0.347,0.993,FALSE,FALSE,FALSE
Rikenellaceae,Alistipes,putredinis,-0.209,0.58,1.15,1.09,-0.181,0.532,0.856,0.595,0.968,0.993,FALSE,FALSE,FALSE
Clostridiaceae,Clostridium,celatum,-0.197,-0.0134,0.478,0.629,-0.412,-0.0213,0.68,0.983,0.968,0.993,FALSE,FALSE,FALSE
Lachnospiraceae,[Ruminococcus],gnavus,1.32,0.387,0.694,0.705,1.9,0.548,0.057,0.584,0.542,0.993,FALSE,FALSE,FALSE
Lachnospiraceae,[Ruminococcus],torques,1.68,-0.00761,0.851,0.9,1.98,-0.00845,0.0479,0.993,0.542,0.993,FALSE,FALSE,FALSE
Lachnospiraceae,Blautia,obeum,-0.154,0.19,0.852,0.96,-0.181,0.198,0.856,0.843,0.968,0.993,FALSE,FALSE,FALSE
Lachnospiraceae,Blautia,producta,2.05,-0.707,0.878,0.816,2.34,-0.866,0.0195,0.386,0.371,0.993,FALSE,FALSE,FALSE
Lachnospiraceae,Clostridium,aldenense,0.518,0.214,0.819,0.763,0.633,0.28,0.527,0.779,0.968,0.993,FALSE,FALSE,FALSE
Lachnospiraceae,Clostridium,citroniae,-1.44,-0.0117,1.17,1.12,-1.23,-0.0104,0.218,0.992,0.864,0.993,FALSE,FALSE,FALSE
Lachnospiraceae,Clostridium,colinum,-0.12,-0.582,0.48,0,-0.251,-1.2,0.802,0,0.968,0,FALSE,FALSE,TRUE
Lachnospiraceae,Clostridium,hathewayi,0.897,0.666,0.786,0.718,1.14,0.928,0.253,0.353,0.864,0.993,FALSE,FALSE,FALSE
Lachnospiraceae,Clostridium,lavalense,-0.258,0.244,0.708,0.751,-0.364,0.324,0.716,0.746,0.968,0.993,FALSE,FALSE,FALSE
