Family,Genus,Species,lfc (Medium - Low),lfc (High - Low),se (Medium - Low),se (High - Low),W (Medium - Low),W (High - Low),p (Medium - Low),p (High - Low),q (Medium - Low),q (High - Low),structural_zero (hostility_level = Low),structural_zero (hostility_level = Medium),structural_zero (hostility_level = High)
Bifidobacteriaceae,Bifidobacterium,adolescentis,0.53,0.129,1.09,0.763,0.488,0.169,0.625,0.866,0.922,0.995,FALSE,FALSE,FALSE
Bifidobacteriaceae,Bifidobacterium,bifidum,-0.0217,0.0131,0.605,0.5,-0.0358,0.0263,0.971,0.979,1,0.995,FALSE,FALSE,FALSE
Coriobacteriaceae,Collinsella,aerofaciens,0.865,-0.419,0.778,0.902,1.11,-0.465,0.266,0.642,0.922,0.983,FALSE,FALSE,FALSE
Coriobacteriaceae,Eggerthella,lenta,-0.264,0.211,0.47,0.434,-0.562,0.485,0.574,0.628,0.922,0.983,FALSE,FALSE,FALSE
Bacteroidaceae,Bacteroides,caccae,1.5,1.75,0.938,0.951,1.6,1.84,0.109,0.066,0.922,0.911,FALSE,FALSE,FALSE
Bacteroidaceae,Bacteroides,eggerthii,-0.527,-0.345,0.737,0.713,-0.715,-0.484,0.475,0.628,0.922,0.983,FALSE,FALSE,FALSE
Bacteroidaceae,Bacteroides,fragilis,-0.674,-0.554,1.16,1.19,-0.581,-0.464,0.561,0.643,0.922,0.983,FALSE,FALSE,FALSE
Bacteroidaceae,Bacteroides,ovatus,-0.972,-0.226,0.702,0.928,-1.38,-0.243,0.166,0.808,0.922,0.995,FALSE,FALSE,FALSE
Bacteroidaceae,Bacteroides,uniformis,-0.803,-0.394,1.11,1.18,-0.721,-0.332,0.471,0.74,0.922,0.995,FALSE,FALSE,FALSE
Porphyromonadaceae,Parabacteroides,distasonis,-0.6,-0.894,1.22,0.975,-0.49,-0.917,0.624,0.359,0.922,0.911,FALSE,FALSE,FALSE
Rikenellaceae,Alistipes,indistinctus,0.466,0.55,0.686,0.601,0.679,0.915,0.497,0.36,0.922,0.911,FALSE,FALSE,FALSE
Rikenellaceae,Alistipes,onderdonkii,0.0575,0.00657,1.07,1.05,0.0537,0.00624,0.957,0.995,1,0.995,FALSE,FALSE,FALSE
Rikenellaceae,Alistipes,putredinis,0.885,0.982,1.11,1.04,0.798,0.94,0.425,0.347,0.922,0.911,FALSE,FALSE,FALSE
Clostridiaceae,Clostridium,celatum,-0.405,0.657,0,0.593,-1.12,1.11,0,0.268,0,0.911,FALSE,TRUE,FALSE
Lachnospiraceae,[Ruminococcus],gnavus,0.334,0.952,0.625,0.679,0.534,1.4,0.593,0.161,0.922,0.911,FALSE,FALSE,FALSE
Lachnospiraceae,[Ruminococcus],torques,-4.67e-4,1.28,0.947,0.859,-4.93e-4,1.49,1,0.136,1,0.911,FALSE,FALSE,FALSE
Lachnospiraceae,Blautia,obeum,-0.0677,0.737,0.894,0.89,-0.0758,0.828,0.94,0.408,1,0.911,FALSE,FALSE,FALSE
Lachnospiraceae,Blautia,producta,-1.07,-0.518,0.895,0.972,-1.2,-0.533,0.231,0.594,0.922,0.983,FALSE,FALSE,FALSE
Lachnospiraceae,Clostridium,aldenense,0.0135,0.301,0.824,0.777,0.0163,0.387,0.987,0.699,1,0.983,FALSE,FALSE,FALSE
Lachnospiraceae,Clostridium,citroniae,-0.595,0.0208,1.13,1.2,-0.525,0.0174,0.6,0.986,0.922,0.995,FALSE,FALSE,FALSE
Lachnospiraceae,Clostridium,colinum,0.031,-0.184,0.469,0.455,0.0661,-0.403,0.947,0.687,1,0.983,FALSE,FALSE,FALSE
Lachnospiraceae,Clostridium,hathewayi,0.0919,0.0785,0.8,0.748,0.115,0.105,0.909,0.916,1,0.995,FALSE,FALSE,FALSE
Lachnospiraceae,Clostridium,lavalense,0.576,-0.328,0.765,0.687,0.754,-0.478,0.451,0.633,0.922,0.983,FALSE,FALSE,FALSE
Lachnospiraceae,Clostridium,symbiosum,-0.16,-0.224,0.794,0.769,-0.201,-0.291,0.841,0.771,1,0.995,FALSE,FALSE,FALSE
Lachnospiraceae,Coprococcus,catus,0.0444,-0.729,0.614,0,0.0723,-1.65,0.942,0,1,0,FALSE,FALSE,TRUE
Lachnospiraceae,Dorea,formicigenerans,-0.762,-0.699,0.649,0.646,-1.17,-1.08,0.24,0.279,0.922,0.911,FALSE,FALSE,FALSE
Lachnospiraceae,Roseburia,faecis,1.25,0.977,1.14,1.05,1.1,0.928,0.271,0.353,0.922,0.911,FALSE,FALSE,FALSE
Ruminococcaceae,Faecalibacterium,prausnitzii,0.829,-0.73,1.08,1.28,0.771,-0.57,0.441,0.569,0.922,0.983,FALSE,FALSE,FALSE
Ruminococcaceae,Gemmiger,formicilis,0.756,0.0126,1.08,0.916,0.703,0.0137,0.482,0.989,0.922,0.995,FALSE,FALSE,FALSE
Ruminococcaceae,Ruminococcus,bromii,1.11,0.829,1.03,0.989,1.07,0.838,0.285,0.402,0.922,0.911,FALSE,FALSE,FALSE
Veillonellaceae,Veillonella,dispar,0.532,-0.393,0.816,0.472,0.652,-0.832,0.514,0.406,0.922,0.911,FALSE,FALSE,FALSE
Erysipelotrichaceae,[Eubacterium],biforme,0.306,0.071,0.638,0.624,0.48,0.114,0.631,0.909,0.922,0.995,FALSE,FALSE,FALSE
Erysipelotrichaceae,[Eubacterium],dolichum,-1.03,-0.0765,0.482,0.668,-2.15,-0.115,0.0319,0.909,0.605,0.995,FALSE,FALSE,FALSE
Erysipelotrichaceae,Clostridium,ramosum,-1.34,-1.35,0.58,0.579,-2.32,-2.33,0.0206,0.0197,0.605,0.748,FALSE,FALSE,FALSE
Erysipelotrichaceae,Clostridium,spiroforme,0.0703,-0.369,0.495,0,0.142,-1.1,0.887,0,1,0,FALSE,FALSE,TRUE
Pasteurellaceae,Haemophilus,parainfluenzae,0.133,-0.448,0.625,0.447,0.212,-1,0.832,0.316,1,0.911,FALSE,FALSE,FALSE
Verrucomicrobiaceae,Akkermansia,muciniphila,-1.7,-1.16,1.33,1.38,-1.28,-0.843,0.201,0.399,0.922,0.911,FALSE,FALSE,FALSE
Unknown,Unknown,Unknown,0.0953,0.127,0.257,0.301,0.371,0.422,0.711,0.673,1,0.983,FALSE,FALSE,FALSE
