Family,Genus,Species,lfc (Medium - Low),lfc (High - Low),se (Medium - Low),se (High - Low),W (Medium - Low),W (High - Low),p (Medium - Low),p (High - Low),q (Medium - Low),q (High - Low),structural_zero (metabolic_syndrome_level = Low),structural_zero (metabolic_syndrome_level = Medium),structural_zero (metabolic_syndrome_level = High)
Bifidobacteriaceae,Bifidobacterium,adolescentis,0.702,0.333,0.863,0.914,0.813,0.364,0.416,0.716,0.754,0.917,FALSE,FALSE,FALSE
Bifidobacteriaceae,Bifidobacterium,bifidum,0.0744,0.152,0.43,0.594,0.173,0.256,0.863,0.798,0.923,0.917,FALSE,FALSE,FALSE
Coriobacteriaceae,Collinsella,aerofaciens,-1.07,0.499,0.639,0.992,-1.67,0.504,0.0951,0.615,0.42,0.917,FALSE,FALSE,FALSE
Coriobacteriaceae,Eggerthella,lenta,-0.133,0.16,0.415,0.437,-0.32,0.367,0.749,0.714,0.899,0.917,FALSE,FALSE,FALSE
Bacteroidaceae,Bacteroides,caccae,1.52,0.696,0.959,1.09,1.58,0.64,0.114,0.522,0.42,0.917,FALSE,FALSE,FALSE
Bacteroidaceae,Bacteroides,eggerthii,1.77,0.615,0,0,2.18,1.06,0,0,0,0,TRUE,FALSE,FALSE
Bacteroidaceae,Bacteroides,fragilis,-1.03,-1.68,1.12,1.03,-0.919,-1.62,0.358,0.105,0.754,0.748,FALSE,FALSE,FALSE
Bacteroidaceae,Bacteroides,ovatus,0.635,0.585,0.782,0.819,0.813,0.715,0.416,0.475,0.754,0.917,FALSE,FALSE,FALSE
Bacteroidaceae,Bacteroides,uniformis,-1.86,-1.07,1.05,1.21,-1.77,-0.884,0.0768,0.377,0.42,0.895,FALSE,FALSE,FALSE
Porphyromonadaceae,Parabacteroides,distasonis,-0.562,1.18,0.943,1.1,-0.597,1.07,0.551,0.283,0.837,0.79,FALSE,FALSE,FALSE
Rikenellaceae,Alistipes,indistinctus,0.388,0.00576,0.542,0.638,0.716,0.00903,0.474,0.993,0.784,0.993,FALSE,FALSE,FALSE
Rikenellaceae,Alistipes,onderdonkii,1.5,1.38,0.954,0.892,1.57,1.55,0.115,0.122,0.42,0.748,FALSE,FALSE,FALSE
Rikenellaceae,Alistipes,putredinis,1.9,2.07,0.939,0.999,2.03,2.08,0.0428,0.0378,0.42,0.748,FALSE,FALSE,FALSE
Clostridiaceae,Clostridium,celatum,0.82,0.675,0,0,1.67,1.06,0,0,0,0,TRUE,FALSE,FALSE
Lachnospiraceae,[Ruminococcus],gnavus,-0.0351,-0.357,0.718,0.673,-0.0489,-0.53,0.961,0.596,0.961,0.917,FALSE,FALSE,FALSE
Lachnospiraceae,[Ruminococcus],torques,-0.696,0.286,0.853,0.944,-0.816,0.303,0.414,0.762,0.754,0.917,FALSE,FALSE,FALSE
Lachnospiraceae,Blautia,obeum,0.384,-0.37,0.888,0.941,0.432,-0.393,0.666,0.694,0.899,0.917,FALSE,FALSE,FALSE
Lachnospiraceae,Blautia,producta,-1.66,-1.29,0.723,1.01,-2.29,-1.28,0.0219,0.2,0.42,0.79,FALSE,FALSE,FALSE
Lachnospiraceae,Clostridium,aldenense,-0.123,0.0813,0.743,0.79,-0.165,0.103,0.869,0.918,0.923,0.943,FALSE,FALSE,FALSE
Lachnospiraceae,Clostridium,citroniae,0.367,1.39,1.19,0.957,0.31,1.45,0.757,0.147,0.899,0.748,FALSE,FALSE,FALSE
Lachnospiraceae,Clostridium,colinum,0.0237,0.67,0,0.682,0.108,0.983,0,0.326,0,0.825,FALSE,TRUE,FALSE
Lachnospiraceae,Clostridium,hathewayi,-0.831,0.158,0,0.849,-1.54,0.186,0,0.853,0,0.917,FALSE,TRUE,FALSE
Lachnospiraceae,Clostridium,lavalense,0.287,0.131,0.709,0.722,0.405,0.181,0.686,0.857,0.899,0.917,FALSE,FALSE,FALSE
Lachnospiraceae,Clostridium,symbiosum,0.26,-0.151,0.819,0.665,0.318,-0.226,0.751,0.821,0.899,0.917,FALSE,FALSE,FALSE
Lachnospiraceae,Coprococcus,catus,-0.658,-0.371,0,0.625,-1.78,-0.594,0,0.553,0,0.917,FALSE,TRUE,FALSE
Lachnospiraceae,Dorea,formicigenerans,-0.272,-0.823,0.633,0.668,-0.43,-1.23,0.667,0.218,0.899,0.79,FALSE,FALSE,FALSE
Lachnospiraceae,Roseburia,faecis,1.51,-0.525,0.799,1.29,1.89,-0.407,0.059,0.684,0.42,0.917,FALSE,FALSE,FALSE
Ruminococcaceae,Faecalibacterium,prausnitzii,1.52,1.58,1.19,1.12,1.28,1.41,0.202,0.157,0.514,0.748,FALSE,FALSE,FALSE
Ruminococcaceae,Gemmiger,formicilis,0.665,0.195,1.02,1.02,0.651,0.192,0.515,0.848,0.815,0.917,FALSE,FALSE,FALSE
Ruminococcaceae,Ruminococcus,bromii,1.24,0.513,1.03,1.09,1.21,0.472,0.225,0.637,0.535,0.917,FALSE,FALSE,FALSE
Veillonellaceae,Veillonella,dispar,-0.567,-0.951,0.559,0.618,-1.02,-1.54,0.31,0.124,0.693,0.748,FALSE,FALSE,FALSE
Erysipelotrichaceae,[Eubacterium],biforme,-0.597,-0.115,0,0.698,-1.28,-0.165,0,0.869,0,0.917,FALSE,TRUE,FALSE
Erysipelotrichaceae,[Eubacterium],dolichum,-0.826,-0.357,0.549,0.667,-1.5,-0.535,0.133,0.593,0.42,0.917,FALSE,FALSE,FALSE
Erysipelotrichaceae,Clostridium,ramosum,-0.754,-0.946,0.592,0.615,-1.27,-1.54,0.203,0.124,0.514,0.748,FALSE,FALSE,FALSE
Erysipelotrichaceae,Clostridium,spiroforme,-0.0529,-0.0789,0.334,0.457,-0.158,-0.173,0.874,0.863,0.923,0.917,FALSE,FALSE,FALSE
Pasteurellaceae,Haemophilus,parainfluenzae,-0.181,-0.649,0.495,0.558,-0.365,-1.16,0.715,0.245,0.899,0.79,FALSE,FALSE,FALSE
Verrucomicrobiaceae,Akkermansia,muciniphila,0.991,-2.29,1.32,1.31,0.753,-1.74,0.452,0.0818,0.78,0.748,FALSE,FALSE,FALSE
Unknown,Unknown,Unknown,0.0579,0.0641,0.247,0.332,0.235,0.193,0.815,0.847,0.923,0.917,FALSE,FALSE,FALSE
